Reaction ID,Objective Value
R06366,21.947873799725638
R06367,21.947873799725638
R06368,21.947873799725638
R06396,16.46090534979424
R06397,21.947873799725663
R06398,21.947873799725656
R06400,21.947873799725656
R06404,21.947873799725656
R06406,21.947873799725656
R06409,21.947873799725656
R06410,21.947873799725656
R06411,21.947873799725656
R06412,21.947873799725656
R06414,21.947873799725656
R06415,21.947873799725656
R06435,21.947873799725656
R06436,21.947873799725656
R06447,21.947873799725656
R06513,6.964060943102692e-16
R06514,21.947873799725315
R06515,16.46090534979423
R06529,21.94787379972554
R06558,21.947873799725617
R06568,21.947873799725617
R06578,21.947873799725617
R06589,21.947873799725617
R06590,21.947873799725617
R06601,21.947873799725617
R06622,21.947873799725617
R06728,21.947873799725617
R06729,21.947873799725617
R06731,21.947873799725617
R06782,21.947873799725617
R06783,21.947873799725617
R06786,21.947873799725617
R06787,21.947873799725617
R06833,21.947873799725617
R06835,21.947873799725617
R06838,21.947873799725617
R06839,21.947873799725617
R06851,21.947873799725617
R06858,21.947873799725617
R06859,21.947873799725617
R06883,21.947873799725617
R06884,21.947873799725617
R06888,21.947873799725617
R06890,21.947873799725617
R06891,21.947873799725617
R06895,21.947873799725617
R06904,21.947873799725617
R06905,21.947873799725617
R06908,21.947873799725617
R06915,21.947873799725617
R06916,21.947873799725617
R06917,21.947873799725617
R06926,21.947873799725617
R06927,21.947873799725617
R06936,21.947873799725617
R06939,21.947873799725617
R06941,21.947873799725617
R06942,21.947873799725617
R06944,21.947873799725617
R06962,21.947873799725617
R06966,21.947873799725617
R06970,21.947873799725617
R06971,21.947873799725617
R06972,21.947873799725617
R06977,21.947873799725617
R06978,21.947873799725617
R06979,21.947873799725617
R06989,21.947873799725617
R06990,21.947873799725617
R07000,21.947873799725617
R07001,21.947873799725617
R07002,21.947873799725617
R07003,21.947873799725617
R07004,21.947873799725617
R07013,21.947873799725617
R07014,21.947873799725617
R07016,21.947873799725617
R07020,21.947873799725617
R07021,21.947873799725617
R07022,21.947873799725617
R07023,21.947873799725617
R07024,21.947873799725617
R07025,21.947873799725617
R07026,21.947873799725617
R07027,21.947873799725617
R07042,21.947873799725617
R07043,21.947873799725617
R07044,21.947873799725617
R07045,21.947873799725617
R07046,21.947873799725617
R07048,21.947873799725617
R07050,21.947873799725617
R07051,21.947873799725617
R07052,21.947873799725617
R07054,21.947873799725617
R07055,21.947873799725617
R07056,21.947873799725617
R07058,21.947873799725617
R07066,21.947873799725617
R07068,21.947873799725617
R07069,21.947873799725617
R07070,21.947873799725617
R07071,21.947873799725617
R07072,21.947873799725617
R07075,21.947873799725617
R07079,21.947873799725617
R07080,21.947873799725617
R07081,21.947873799725617
R07082,21.947873799725617
R07083,21.947873799725617
R07084,21.947873799725617
R07085,21.947873799725617
R07087,21.947873799725617
R07088,21.947873799725617
R07089,21.947873799725617
R07090,21.947873799725617
R07091,21.947873799725617
R07092,21.947873799725617
R07093,21.947873799725617
R07094,21.947873799725617
R07098,21.947873799725617
R07099,21.947873799725617
R07100,21.947873799725617
R07105,21.947873799725617
R07107,21.947873799725617
R07112,21.947873799725617
R07113,21.947873799725617
R07116,21.947873799725617
R07168,21.947873799725606
R07188,21.947873799725592
R07191,21.947873799725592
R07219,21.947873799725592
R07263,21.947873799725592
R07268,21.947873799725592
R07270,21.947873799725592
R07281,21.947873799725592
R07290,21.947873799725592
R07302,21.947873799725592
R07322,21.947873799725592
R07323,21.947873799725592
R07324,21.947873799725592
R07343,21.947873799725592
R07353,21.947873799725592
R07363,21.947873799725592
R07364,21.947873799725592
R07392,21.947873799725592
R07395,21.947873799725592
R07400,21.947873799725592
R07411,21.947873799725592
R07412,21.947873799725592
R07416,21.947873799725592
R07456,21.947873799725592
R07463,21.947873799725592
R07465,21.947873799725592
R07541,21.947873799725592
R07560,21.947873799725592
