Metabolite ID,Name,Formula/Composition,Compartment,PubChem ID
G13027,Glycan,(Man)1 (Ser/Thr)1,Cytosol,
C19803,[Protein]-L-threonine,C5H8N2O3R2,Cytosol,135626270
C20722,3-O-(alpha-D-Mannosyl)-L-threonyl-[protein],C11H18N2O8R2,Cytosol,254741191
C11355,4-Amino-4-deoxychorismate,C10H11NO5,Cytosol,13530
C01647,tRNA(Met),,Cytosol,4796
C02430,L-Methionyl-tRNA,C20H30N6O11PSR(C5H8O6PR)n,Cytosol,5457
C05335,L-Selenomethionine,C5H11NO2Se,Cytosol,7713
C05336,Selenomethionyl-tRNA(Met),C20H30N6O11PSeR(C5H8O6PR)n,Cytosol,7714
C01013,3-Hydroxypropanoate,C3H6O3,Cytosol,4258
C00222,3-Oxopropanoate,C3H4O3,Cytosol,3522
C00117,D-Ribose 5-phosphate,C5H11O8P,Cytosol,3417
C04501,N-Acetyl-alpha-D-glucosamine 1-phosphate,C8H16NO9P,Cytosol,7115
C00043,UDP-N-acetyl-alpha-D-glucosamine,C17H27N3O17P2,Cytosol,3345
C06156,alpha-D-Glucosamine 1-phosphate,C6H14NO8P,Cytosol,8412
C00412,Stearoyl-CoA,C39H70N7O17P3S,Cytosol,3702
C00999,Ferrocytochrome b5,,Cytosol,4245
C00510,Oleoyl-CoA,C39H68N7O17P3S,Cytosol,3793
C00996,Ferricytochrome b5,,Cytosol,4242
C00154,Palmitoyl-CoA,C37H66N7O17P3S,Cytosol,3454
C21072,Palmitoleoyl-CoA,C37H64N7O17P3S,Cytosol,295369334
C00455,Nicotinamide D-ribonucleotide,C11H15N2O8P,Cytosol,3741
C00105,UMP,C9H13N2O9P,Cytosol,3405
C00857,Deamino-NAD+,C21H27N6O15P2,Cytosol,4114
C01185,Nicotinate D-ribonucleotide,C11H15NO9P,Cytosol,4411
C00882,Dephospho-CoA,C21H35N7O13P2S,Cytosol,4138
C00459,dTTP,C10H17N2O14P3,Cytosol,3743
C00364,dTMP,C10H15N2O8P,Cytosol,3655
C00631,2-Phospho-D-glycerate,C3H7O7P,Cytosol,3904
C00074,Phosphoenolpyruvate,C3H5O6P,Cytosol,3374
C04494,Guanosine 3'-diphosphate 5'-triphosphate,C10H18N5O20P5,Cytosol,7111
C01228,"Guanosine 3',5'-bis(diphosphate)",C10H17N5O17P4,Cytosol,4450
C00152,L-Asparagine,C4H8N2O3,Cytosol,3452
C00136,Butanoyl-CoA,C25H42N7O17P3S,Cytosol,3436
C05269,3-Oxohexanoyl-CoA,C27H44N7O18P3S,Cytosol,7656
C00283,Hydrogen sulfide,H2S,Cytosol,3578
C00097,L-Cysteine,C3H7NO2S,Cytosol,3397
C00155,L-Homocysteine,C4H9NO2S,Cytosol,3455
C02291,L-Cystathionine,C7H14N2O4S,Cytosol,5347
C05698,Selenohomocysteine,C4H9NO2Se,Cytosol,8005
C05699,L-Selenocystathionine,C7H14N2O4Se,Cytosol,8006
C01118,O-Succinyl-L-homoserine,C8H13NO6,Cytosol,4349
C00109,2-Oxobutanoate,C4H6O3,Cytosol,3409
C00042,Succinate,C4H6O4,Cytosol,3344
C01077,O-Acetyl-L-homoserine,C6H11NO4,Cytosol,4315
C00320,Thiosulfate,HS2O3,Cytosol,3614
C00094,Sulfite,H2SO3,Cytosol,3394
C00542,Cystathionine,C7H14N2O4S,Cytosol,3823
C05702,O-Phosphorylhomoserine,C4H10NO6P,Cytosol,8009
C05688,L-Selenocysteine,C3H7NO2Se,Cytosol,7995
C00188,L-Threonine,C4H9NO3,Cytosol,3488
C05852,2-Hydroxyphenylacetate,C8H8O3,Cytosol,8145
C00544,Homogentisate,C8H8O4,Cytosol,3825
C00310,D-Xylulose,C5H10O5,Cytosol,3604
C00231,D-Xylulose 5-phosphate,C5H11O8P,Cytosol,3530
C00341,Geranyl diphosphate,C10H20O7P2,Cytosol,3634
C00129,Isopentenyl diphosphate,C5H12O7P2,Cytosol,3429
C16826,"2-cis,6-trans-Farnesyl diphosphate",C15H28O7P2,Cytosol,96023350
C00122,Fumarate,C4H4O4,Cytosol,3422
C00354,"D-Fructose 1,6-bisphosphate",C6H14O12P2,Cytosol,3647
C05378,"beta-D-Fructose 1,6-bisphosphate",C6H14O12P2,Cytosol,7752
C11811,1-Hydroxy-2-methyl-2-butenyl 4-diphosphate,C5H12O8P2,Cytosol,13975
C00138,Reduced ferredoxin,,Cytosol,3438
C00139,Oxidized ferredoxin,,Cytosol,3439
C00235,Dimethylallyl diphosphate,C5H12O7P2,Cytosol,3534
