Metabolite ID,Name,Formula/Composition,Compartment,PubChem ID,Canonical SMILES
C00243,Lactose,C12H22O11,Cytosol,3542,CC1CNCCN1S(=O)(=O)C2=CC=CC3=C2C=CN=C3
C00267,alpha-D-Glucose,C6H12O6,Cytosol,3565,CC1=NCCC2=C1NC3=C2C=CC(=C3)O
C00124,D-Galactose,C6H12O6,Cytosol,3424,CC1=C(NC(=C1C(=O)C2=CC=CC=C2CC3=CC=CC=C3)C)C
C01290,Lactosylceramide,C31H56NO13R,Cytosol,4509,C1C(=O)NC(=O)N1N=CC2=CC=C(O2)[N+](=O)[O-]
C01190,Glucosylceramide,C25H46NO8R,Cytosol,4416,COC1=CC2=C(C=C1)C(=C(CC2)C3=CC=CC=C3)C4=CC=C(C=C4)OCCN5CCCC5
C04911,D-Galactosyl-N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide,C56H96N3O31R,Cytosol,7461,CC1=CCC(=CC1)C(C)C
C04884,N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide,C50H86N3O26R,Cytosol,7436,CNCC(=O)C1=CC(=C(C=C1)O)O
C06136,GA1,C45H79N2O23R,Cytosol,8393,CC1=NN(C(=C1)OC(=O)N(C)C)C(C)C
C06135,GA2,C39H69N2O18R,Cytosol,8392,C1=CC(=O)C(=CC1=N)N(O)O
G00124,Glycan,(Gal)2 (GalNAc)1 (Glc)1 (Cer)1,Cytosol,,
G00123,Glycan,(Gal)1 (GalNAc)1 (Glc)1 (Cer)1,Cytosol,,
G00110,Glycan,(Gal)2 (GalNAc)1 (Glc)1 (Neu5Ac)1 (Cer)1,Cytosol,,
G00109,Glycan,(Gal)1 (GalNAc)1 (Glc)1 (Neu5Ac)1 (Cer)1,Cytosol,,
G01977,Glycan,(Gal)2 (GlcNAc)2 (S)2,Cytosol,,
G13073,Glycan,(Gal)1 (GlcNAc)2 (S)2,Cytosol,,
C00033,Acetate,C2H4O2,Cytosol,3335,C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)CCC(=O)O
C05993,Acetyl adenylate,C12H16N5O8P,Cytosol,8267,CC1(C2CCC1(C(C2)OC(=O)CSC#N)C)C
C00163,Propanoate,C3H6O2,Cytosol,3463,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O
C00100,Propanoyl-CoA,C24H40N7O17P3S,Cytosol,3400,
C05983,Propionyladenylate,C13H18N5O8P,Cytosol,8261,
C00256,(R)-Lactate,C3H6O3,Cytosol,3555,CSCCC1C(=O)N2CCCC2C(=O)NC(C3=NC(=CS3)C(=O)NC(C(=O)N4CCCC4C(=O)N5CCCC5C(=O)N1)CCS(=O)C)CC6=CC=CC=C6
C00357,N-Acetyl-D-glucosamine 6-phosphate,C8H16NO9P,Cytosol,3650,C1(C(NC(=O)NC1=O)O)F
C16698,N-Acetylmuramic acid 6-phosphate,C11H20NO11P,Cytosol,51091020,CC1=NC(=NN1)SCC2=NN=NN2C3=CC=C(C=C3)OC(F)F
C01674,Chitobiose,C16H28N2O11,Cytosol,4818,CC1=NC=C(C(=C1O)C=NNC(=O)C2=CC=NC=C2)CO
C00140,N-Acetyl-D-glucosamine,C8H15NO6,Cytosol,3440,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl
